algo_a,algo_b,entrance_a,seed,winner,a_moves,b_moves,a_waits,b_waits,a_items_collected,b_items_collected,a_efficiency,b_efficiency,move_margin,a_items_left,a_items_right,b_items_left,b_items_right,a_distribution,b_distribution,a_cross_cluster_trips,b_cross_cluster_trips,a_t_corridor_visits,a_b_corridor_visits,b_t_corridor_visits,b_b_corridor_visits,a_bottleneck_visits,b_bottleneck_visits,a_detour_ratio,b_detour_ratio,a_aisle_A1,a_aisle_A2,a_aisle_A4,a_aisle_A5,b_aisle_A1,b_aisle_A2,b_aisle_A4,b_aisle_A5,a_blocks_caused,b_blocks_caused,a_blocked_at_bottleneck,b_blocked_at_bottleneck,a_trap_attempts,a_trap_successes,b_trap_attempts,b_trap_successes,a_total_search_calls,a_total_nodes_expanded,a_avg_nodes_per_call,a_max_frontier,a_search_time_us,a_avg_time_per_call_us,b_total_search_calls,b_total_nodes_expanded,b_avg_nodes_per_call,b_max_frontier,b_search_time_us,b_avg_time_per_call_us,a_avg_nodes_per_move,b_avg_nodes_per_move,game_time_us,total_turns,game_id,trial
BFS,UCS,Top,71,A,9,8,0,0,12,8,1.3333,1.5,1,5,7,7,5,moderate,moderate,1,1,4,0,0,3,1,0,1.0,1.0,1,1,2,1,1,2,1,0,0,0,0,0,7,0,6,0,115,2275,19.78,6,2381.9,20.71,130,3399,26.15,7,4114.2,31.65,148.1,227.6,7908.2,8,29,9
BFS,UCS,Top,72,A,9,8,0,0,12,9,1.3333,1.5,1,4,8,8,4,moderate,moderate,1,1,4,0,0,3,1,0,1.0,1.0,1,1,2,1,1,2,1,0,0,0,0,0,7,0,6,0,105,1976,18.82,6,2047.2,19.5,117,2927,25.02,7,3722.8,31.82,133.2,197.8,7079.1,8,30,10
BFS,UCS,Bottom,73,A,9,8,0,0,12,9,1.3333,1.5,1,5,7,7,5,moderate,moderate,1,1,3,1,1,3,1,1,1.0,1.0,1,2,1,1,0,1,2,1,0,0,0,0,7,0,6,0,145,3214,22.17,6,3079.6,21.24,149,4063,27.27,7,4522.7,30.35,203.2,268.0,9024.5,8,31,1
BFS,UCS,Bottom,74,A,9,8,0,0,12,10,1.3333,1.5,1,4,8,8,4,moderate,moderate,1,1,3,1,1,2,1,0,1.0,1.0,1,1,2,1,1,2,1,0,0,0,0,0,7,0,6,0,109,2066,18.95,6,1980.1,18.17,114,2804,24.6,7,2963.9,26.0,140.7,190.6,6040.2,8,32,2
BFS,UCS,Bottom,75,A,9,8,0,0,12,9,1.3333,1.5,1,8,4,4,8,moderate,moderate,1,1,3,1,1,2,1,0,1.0,1.0,1,2,1,1,0,1,2,1,0,0,0,0,7,0,6,0,105,2018,19.22,6,1972.5,18.79,117,2975,25.43,7,3394.9,29.02,134.7,199.5,6570.1,8,33,3
BFS,UCS,Bottom,76,A,9,8,0,0,12,10,1.3333,1.5,1,6,6,6,6,balanced,balanced,1,1,3,1,1,3,1,1,1.0,1.0,1,1,2,1,1,2,1,0,0,0,0,0,7,0,6,0,135,2779,20.59,6,2756.3,20.42,136,3609,26.54,7,3937.4,28.95,179.9,237.9,8071.7,8,34,4
BFS,UCS,Bottom,77,A,9,8,0,0,12,10,1.3333,1.5,1,5,7,7,5,moderate,moderate,1,1,3,1,1,2,1,0,1.0,1.0,1,2,1,1,0,1,2,1,0,0,0,0,7,0,6,0,143,3103,21.7,6,3600.1,25.18,152,4102,26.99,7,5460.1,35.92,195.1,270.4,10831.0,8,35,5
BFS,UCS,Bottom,78,A,9,8,0,0,12,8,1.3333,1.5,1,4,8,8,4,moderate,moderate,1,0,3,1,1,2,1,1,1.0,1.077,1,1,2,1,2,1,0,0,0,0,0,0,8,0,7,0,113,2201,19.48,6,2228.4,19.72,116,2904,25.03,7,3393.4,29.25,149.3,187.1,6872.8,8,36,6
BFS,UCS,Bottom,79,A,9,8,0,0,12,8,1.3333,1.5,1,6,6,6,6,balanced,balanced,1,1,3,1,1,3,1,1,1.0,1.0,1,2,1,1,0,1,2,1,0,0,0,0,7,0,6,0,127,2713,21.36,6,2783.2,21.92,142,3874,27.28,7,5145.4,36.23,172.6,255.9,10230.4,8,37,7
BFS,UCS,Bottom,80,A,9,8,0,0,12,7,1.3333,1.5,1,9,3,3,9,lopsided,lopsided,1,1,3,1,1,3,1,1,1.0,1.0,1,1,2,1,1,1,1,0,0,0,0,0,7,0,6,0,167,3630,21.74,6,14539.9,87.07,174,4998,28.72,7,5376.1,30.9,227.8,324.5,21618.5,8,38,8
